"id","game_title","year"
"9658","Actua Tennis","1997"
"9659","Horse Life","2007"
"9660","Monster Truck Madness","2003"
"9661","Sonic Jam","1997"
"9662","Puella Magi Madoka Magica Portable","2012"
"9663","Ninja Reflex","2008"
"9664","Peter Jacobsen's Golden Tee Golf","2000"
"9665","Calling","2009"
"9666","Marvel Avengers: Battle for Earth","2012"
"9668","Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG","1998"
"9671","High Velocity: Mountain Racing Challenge","1995"
"9672","NHL 2K7","2006"
"9673","Resident Evil","2006"
"9674","Capcom vs. SNK 2: Millionaire Fighting 2001","2001"
"9675","Criticom","1996"
"9676","SCORE International Baja 1000: The Official Game","2008"
"9681","After Hours Athletes","2011"
"9683","Worms 3D","2003"
"9684","Clock Tower: The First Fear","1997"
"9685","Kidou Senshi Gundam Seed Battle Destiny","2012"
"9686","Godzilla Unleashed: Double Smash","2007"
"9687","Star Trek: Conquest","2007"
"9688","Kilari: Na-san, Mon Meilleur Ami","2006"
"9689","Strikers 1945","1998"
"9690","Ochaken no Heya DS","2006"
"9691","Obscure: The Aftermath","2008"
"9692","Galidor: Defenders of the Outer Dimension","2002"
"9693","Tom Clancy's Splinter Cell Trilogy","2011"
"9695","Fire ProWrestling S: 6Men Scramble","1996"
"9696","Blackwater","2011"
"9697","Pryzm Chapter One: The Dark Unicorn","2002"
"9698","Gundam Battle Royale","2006"
"9699","Solitaire & Mahjong","2009"
"9700","Zen-Nippon Pro Wrestling: Ouja no Kon","1999"
"9703","Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi","2008"
"9704","Guilty Gear X","2001"
"9705","Deadliest Catch: Sea of Chaos","2010"
"9707","NHL 2002","2002"
"9708","Disney's PK: Out of the Shadows","2002"
"9709","Mugen no Frontier: Super Robot Taisen OG Saga EXCEED","2010"
"9711","Echo Night","1998"
"9714","Wild ARMs 5 (jp sales)","2006"
"9716","Gladiator Begins","2010"
"9717","Colony Wars III: Red Sun","2000"
"9718","Magic: The Gathering - Battlemage","1997"
"9719","The King of Fighters '94","1994"
"9720","DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File","2008"
"9721","Puzzle Quest 2","2010"
"9722","All Kamen Rider: Rider Generation","2011"
"9723","The King of Fighters '98 Ultimate Match","2008"
"9724","Onechanbara: Bikini Zombie Slayers","2008"
"9727","Guardian's Crusade","1998"
"9728","Undead Knights","2009"
"9729","Final Fantasy XIV: Heavensward","2015"
"9731","MotoGP 3 - Official Game of MotoGP","2003"
"9732","Makai Kingdom: Chronicles of the Sacred Tome","2005"
"9733","The Ant Bully","2006"
"9734","M&M's Kart Racing","2008"
"9735","Bomberman Party Edition","1998"
"9736","Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi","2014"
"9738","Eyeshield 21: Max Devil Power","2006"
"9739","Summon Night 3","2012"
"9740","O.D.T.: Escape... Or Die Trying","1997"
"9742","Escape The Museum","2009"
"9745","Lunar: Dragon Song","2005"
"9746","Break 'Em All","2005"
"9750","Major League Baseball 2K8 Fantasy All-Stars","2008"
"9752","Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable","2007"
"9753","San Goku Shi V","1996"
"9756","WRC 5: FIA World Rally Championship","2015"
"9757","Red Faction II","2003"
"9758","Daikaijyuu Monogatari II","1996"
"9760","Voodoo Vince","2003"
"9761","Bodycount","2011"
"9762","Gundam Memories: Tatakai no Kioku","2011"
"9764","Kaijuu Busters","2009"
"9765","Neopets Petpet Adventures: The Wand of Wishing","2006"
"9766","Ferrari Challenge Trofeo Pirelli","2008"
"9767","Virtua Fighter CG Portrait Series Vol.4: Pai Chan","1995"
"9768","Chase: Hollywood Stunt Driver","2002"
"9769","The X Files: Resist or Serve","2004"
"9770","Mobile Suit Gundam Side Story: Missing Link","2014"
"9773","Crush3D","2012"
"9774","Zathura","2005"
"9775","Lovely Lisa","2007"
"9776","Medarot DS: Kabuto / Kuwagata Ver.","2010"
"9777","Mountain Sports","2009"
"9778","Tenchu: Shadow Assassins","2009"
"9782","Shin Megami Tensei: Devil Survivor 2","2015"
"9783","The God of War Trilogy","2010"
"9784","Dance Paradise","2010"
"9786","Blazblue: Continuum Shift Extend","2011"
"9787","Cel Damage","2001"
"9788","Go! Sudoku","2005"
"9791","My Chinese Coach","2008"
"9793","Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B","2007"
"9794","The King of Fighters Collection: The Orochi Saga","2008"
"9795","Atelier Annie: Alchemists of Sera Island","2009"
"9796","Breakdown","2004"
"9797","Rush","2006"
"9798","Ecco the Dolphin","1992"
"9800","Looney Tunes: Sheep Raider","2001"
"9801","Yard Sale Hidden Treasures: Sunnyville","2010"
"9802","Harvest Moon 2 GBC","1999"
"9804","Lost in Shadow","2010"
"9805","Cory in the House","2007"
"9807","McDROID","2011"
"9808","Gallop Racer 2000","2000"
"9810","Macross Triangle Frontier","2011"
"9811","Chessmaster: The Art of Learning","2008"
"9812","Petz Fantasy: Moonlight Magic","2010"
"9813","Gundam Breaker 3","2016"
"9814","My Farm Around the World","2008"
"9815","Fat Princess: Fistful of Cake","2010"
"9816","Zubo","2008"
"9818","NFL QB Club 2001","2000"
"9819","Earthworm Jim 3D","1999"
"9820","Rocket: Robot on Wheels","1999"
"9821","Densha De Go! 64","1999"
"9825","Animal Genius","2007"
"9826","Sega Soccer Slam","2002"
"9827","Zenses: Rainforest","2008"
"9828","Dora the Explorer: Dora Saves the Mermaids","2008"
"9829","Grand Theft Auto: San Andreas","2008"
"9831","Skate City Heroes","2008"
"9833","2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","2005"
"9834","College Hoops 2K6","2006"
"9835","Mytran Wars","2009"
"9838","Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny","2011"
"9839","Gungnir: Mayari no Gunshin to Eiyuu Sensou","2011"
"9840","Dodge Racing: Charger vs Challenger","2009"
"9841","Fate/Extra CCC","2013"
"9843","MTV Sports: Pure Ride","2000"
"9844","Sonic Adventure 2","2001"
"9845","Burning Road","1996"
"9846","Slayers","1994"
"9847","Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental","2010"
"9848","IndyCar Series","2003"
"9849","Space Chimps","2008"
"9850","Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart","2005"
"9851","Famicom Mini: TwinBee","2004"
"9852","4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","2005"
"9853","Gladiator: Sword of Vengeance","2003"
"9854","nail'd","2010"
"9855","PixelJunk Monsters Deluxe","2010"
"9857","Ultimate Card Games","2003"
"9858","Jikkyou Powerful Pro Yakyuu 8 Ketteiban","2001"
"9860","Lost Magic","2006"
"9861","Wallace & Gromit: Curse of the Were-Rabbit","2005"
"9867","Medarot 4: Kabuto / Kuwagata Version","2001"
"9869","Sacred 3","2014"
"9871","Vacation Isle: Beach Party","2010"
"9873","Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces","2010"
"9875","Onimusha: Blade Warriors","2003"
"9876","Tecmo Bowl: Kickoff","2008"
"9878","Akuji the Heartless","1998"
"9880","7 Days to Die","2016"
"9882","Everybody Dance","2011"
"9883","Psychonauts","2005"
"9885","Deus Ex: Human Revolution","2013"
"9886","Jeremy McGrath Supercross World","2002"
"9887","Uta no * Prince-Sama: All Star","2013"
"9888","HardBall 5","1996"
"9889","Airborne Troops: Countdown to D-Day","2005"
"9890","MLB Inside Pitch 2003","2003"
"9891","ArmA III","2013"
"9893","Marvel Trading Card Game","2007"
"9894","One Piece: Super Grand Battle! X","2014"
"9895","The Penguins of Madagascar: Dr. Blowhole Returns - Again!","2011"
"9896","Self-Defense Training Camp","2011"
"9897","Battles of Prince of Persia","2005"
"9898","Deca Sports Extreme","2011"
"9899","Cruis'n","2007"
"9900","Hatsune Miku: Project Diva X","2016"
"9901","Battle Arena Toshinden Remix","1994"
"9902","Assassin's Creed Chronicles","2016"
"9904","Tropico 5","2014"
"9905","A.C.E.: Another Century's Episode Portable","2011"
"9907","Rodea the Sky Soldier","2015"
"9908","Peggle: Dual Shot","2009"
"9910","Sniper Elite","2010"
"9911","Etrian Odyssey V","2016"
"9914","Crime Killer","1998"
"9917","Dementium II","2010"
"9918","Don Bradman Cricket 14","2015"
"9919","USA Today Crossword Challenge","2008"
"9920","MegaTagmension Blanc + Neptune VS Zombies","2015"
"9921","Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen","1994"
"9922","SD Gundam G Generation-F.I.F","2001"
"9923","Jaws: Ultimate Predator","2011"
"9925","Raiden IV","2008"
"9929","Charm Girls Club: My Perfect Prom","2009"
"9931","Harukanaru Augusta 2: Masters","1993"
"9934","Mobil 1 Rally Championship","2000"
"9935","King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc","2002"
"9937","The Clique: Diss and Make Up","2009"
"9938","Love Live! School Idol Paradise","2014"
"9939","Rugrats: Totally Angelica","2001"
"9940","Nightshade","2003"
"9941","NFL Tour","2008"
"9943","CSI: Crime Scene Investigation","2004"
"9946","Makai Shin Trillion","2014"
"9948","Lost Horizon","2010"
"9949","Hanagumi Taisen Columns","1997"
"9950","Tales of Destiny 2","2007"
"9952","Power Pro Kun Pocket 14","2011"
"9953","Get Up and Dance","2011"
"9954","Merv Griffin's Crosswords","2008"
"9957","Ultimate Puzzle Games: Sudoku Edition","2007"
"9958","Tokyo Twilight Ghost Hunters","2014"
"9960","UN Squadron","1991"
"9961","Tecmo Super Bowl","1996"
"9964","Lunar 2: Eternal Blue","1998"
"9965","NHL Powerplay '96","1996"
"9966","Thousand Arms","1998"
"9969","Hyperdimension Neptunia Re;Birth 3","2014"
"9970","Barnyard","2006"
"9971","Stolen Song","1998"
"9972","Darkspore","2011"
"9973","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","2013"
"9974","Armored Core: Verdict Day","2013"
"9975","Yattaman DS: BikkuriDokkiri Daisakusen da Koron","2008"
"9976","Harvey Birdman: Attorney at Law","2008"
"9979","DEATH NOTE: Kira Game","2007"
"9980","Sengoku Cyber: Fujimaru Jigokuhen","1995"
"9981","Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi","2007"
"9982","ASH: Archaic Sealed Heat","2007"
"9984","Brunswick Pro Bowling","2011"
"9986","Dorabase 2: Nettou Ultra Stadium","2009"
"9987","Center Ring Boxing","1994"
"9989","Puzzler World 2","2010"
"9990","Die Hard: Vendetta","2002"
"9991","Sword Art Online: Hollow Fragment","2015"
"9992","F1 2002","2002"
"9993","Hasbro Family Game Night Fun Pack","2011"
"9994","FIFA Soccer","2005"
"9995","Dead Island Definitive Collection","2016"
"9998","GT Advance 2: Rally Racing","2001"
"9999","Mystery P.I. - Portrait of a Thief","2008"
"10000","Yakuza","2012"
"10001","DOA 2: Dead or Alive 2 Hardcore","2000"
"10002","A Witch's Tale","2009"
"10003","Hollywood Squares","2010"
"10005","SplashDown","2002"
"10006","Nobunaga no Yabou: Tenshoki","1995"
"10007","Stronghold","2001"
"10008","Warhammer: Battle March","2008"
"10009","F1 Racing Championship","2000"
"10010","Dead Man's Hand","2004"
"10011","Smash Cars","2003"
"10012","NASCAR 07","2006"
"10015","Pac 'n Roll","2005"
"10017","Mechanic Master","2008"
"10018","Jikkyou Powerful Pro Yakyuu 12 Ketteiban","2005"
"10019","Melty Blood: Act Cadenza","2006"
"10020","Dokapon Kingdom","2007"
"10021","ToeJam & Earl III: Mission to Earth","2002"
"10022","Phantasy Star Collection","2002"
"10023","Doukoku Shoshite...","1998"
"10024","LEGO Knights' Kingdom","2004"
"10025","Final Fantasy III","2012"
"10027","Retro Game Challenge","2007"
"10028","NBA Jam 2002","2002"
"10029","Every Extend Extra","2006"
"10030","Shining Force NEO","2005"
"10032","Brain Quest: Grades 5 & 6","2008"
"10033","SingStar Latino","2009"
"10034","Girl Time","2009"
"10036","Ultimate Mortal Kombat","2007"
"10037","Pocket Soccer League: Calciobit","2012"
"10038","Primal Rage","1994"
"10041","Heart Catch PreCure! Oshare Collection","2010"
"10043","Taito Legends","2005"
"10044","Tom Clancy's Rainbow Six: Rogue Spear","2002"
"10045","BoomBots","1999"
"10046","Monster Madness: Battle for Suburbia","2007"
"10051","World Championship Rugby","2004"
"10052","Phantom Dust","2004"
"10053","Shinseiki Evangelion: Koutetsu no Girlfriend","1998"
"10054","Shin Sangoku Musou: Multi Raid 2","2010"
"10055","Taiko Drum Master: Tokumori!","2014"
"10056","Growlanser Generations","2003"
"10057","Mega Man Battle Chip Challenge","2003"
"10058","Desktop Tower Defense","2009"
"10059","Puyo Puyo Tetris","2014"
"10061","Sakura Wars: So Long, My Love","2010"
"10062","The Settlers","2007"
"10064","My SAT Coach with The Princeton Review","2008"
"10065","Family Fun Football","2009"
"10066","Ring of Red","2000"
"10067","Cold Winter","2005"
"10068","International Track & Field 2000","1999"
"10069","The Hardy Boys: Treasure on the Tracks","2009"
"10070","PDC World Championship Darts: Pro Tour","2010"
"10071","Stubbs the Zombie in Rebel Without a Pulse","2005"
"10072","Batman: Dark Tomorrow","2003"
"10073","Ping Pals","2004"
"10074","Fatal Frame: Maiden of Black Water","2014"
"10076","Blood Drive","2010"
"10077","18 Wheeler: American Pro Trucker","2002"
"10078","Jake Hunter Detective Story: Memories of the Past","2007"
"10079","Start the Party! Save the World","2011"
"10081","Digimon World DS","2006"
"10082","Naruto Ultimate Collection","2008"
"10083","The King of Fighters '99","2000"
"10084","Mass Destruction","1997"
"10089","Super Swing Golf Season 2","2007"
"10090","Queen's Blade: Spiral Chaos","2009"
"10091","Jikkyou Powerful Pro Yakyuu '95","1994"
"10092","Spy vs Spy","2005"
"10093","Coraline","2009"
"10095","Sega Touring Car Championship","1996"
"10096","GoldenEye: Rogue Agent","2005"
"10097","JASF: Jane's Advanced Strike Fighters","2011"
"10098","Cake Mania","2007"
"10099","Cold Fear","2005"
"10100","Akiba's Trip: Undead & Undressed","2014"
"10101","Zangeki no Reginleiv","2010"
"10102","Stronghold Kingdoms","2011"
"10103","Fabulous Finds","2009"
"10104","Vacation Sports","2009"
"10105","Daito Giken Koushiki Pachi-Slot Simulator: Hihouden","2006"
"10107","Pimp My Ride","2008"
"10109","Invizimals: The Lost Tribes","2011"
"10110","Let's Play Garden","2010"
"10112","Murakumo: Renegade Mech Pursuit","2002"
"10114","Samurai Warriors 4-II","2015"
"10116","WireWay","2009"
"10117","Gun Metal","2002"
"10118","Just In Time Translations","2009"
"10119","John Daly's ProStroke Golf","2010"
"10123","The Hardy Boys: The Hidden Theft","2009"
"10124","Metal Slug 4 & 5","2005"
"10125","Pac-Man and the Ghostly Adventures 2","2014"
"10126","ECW Anarchy Rulz","1999"
"10127","InuYasha: A Feudal Fairy Tale","2002"
"10128","Gem Quest: 4 Elements","2011"
"10129","Funky Barn","2012"
"10130","J-League Winning Eleven 9: Asia Championship","2005"
"10131","Sabrina The Teenage Witch: Potion Commotion","2002"
"10132","Pac-Man Pinball Advance","2005"
"10133","Pocket Pets","2007"
"10134","Yu Yu Hakusho: Tournament Tactics","2004"
"10135","Home Run King","2002"
"10137","To Heart 2: Dungeon Travelers","2011"
"10139","Lost in Blue","2005"
"10140","Criminal Girls: Invite Only","2013"
"10143","Truth or Lies","2010"
"10144","Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant","1995"
"10262","Bust-A-Move DS","2005"
"10145","Kousoku Card Battle: Card Hero","2007"
"10146","AirForce Delta Strike","2004"
"10147","Dora's Big Birthday Adventure","2010"
"10148","Tokimeki Memorial: Girl's Side 2nd Season","2008"
"10149","Disney's Peter Pan: Return to Never Land","2002"
"10152","Capcom vs. SNK 2 EO","2002"
"10154","Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi","2015"
"10155","Spyborgs","2009"
"10156","American Girl: Julie Finds a Way","2007"
"10157","Contra Advance: The Alien Wars EX","2002"
"10159","The History Channel: Battle for the Pacific","2007"
"10160","18 Wheels of Steel: Extreme Trucker 2","2011"
"10161","Happy Feet Two","2011"
"10162","Army Men: RTS","2002"
"10163","Mobile Suit Gundam: MS Sensen 0079","2007"
"10170","Shin Kamaitachi no Yoru: 11 Hitome no Suspect","2011"
"10171","Guitar Rock Tour","2007"
"10172","Mortal Kombat: Deception","2005"
"10175","XXX","2002"
"10176","Machinarium","2009"
"10178","Maximum Force","1997"
"10179","NCIS 3D","2011"
"10180","Worms Forts: Under Siege","2004"
"10181","Alvin and the Chipmunks: Chipwrecked","2011"
"10182","Totally Spies! Totally Party","2008"
"10183","Smash Court Tennis 3","2007"
"10184","ATV Quad Kings","2010"
"10185","Naruto Shippuden: Naruto vs. Sasuke","2008"
"10186","DualPenSports","2011"
"10188","Astro Boy: The Video Game","2009"
"10189","HOP","2011"
"10190","Brave Story: New Traveler (US sales)","2006"
"10192","Tales of Phantasia (PS1 & PSP Versions)","2006"
"10193","Kouchuu Ouja Mushi King: Super Collection","2007"
"10195","Pac-Man World 2","2005"
"10198","Odama","2006"
"10200","FlatOut: Ultimate Carnage","2007"
"10201","Mobile Light Force 2","2002"
"10202","Naval Ops: Warship Gunner","2003"
"10203","Soma Bringer","2008"
"10204","Sesame Street: Ready, Set, Grover!","2011"
"10205","Shin Sangoku Musou 6 Special","2011"
"10207","Go! Sudoku (JP sales)","2005"
"10208","EA Replay","2006"
"10209","Paws & Claws Pet Vet: Australian Adventures","2009"
"10210","Bionicle Heroes","2006"
"10211","Trauma Center: Under the Knife 2","2008"
"10214","The Croods: Prehistoric Party!","2013"
"10215","The King of Fighters 2000/2001","2003"
"10216","Lunacy","1996"
"10217","Batman & Robin","1998"
"10218","Snowboard Kids 2","1999"
"10219","Tonic Trouble","1999"
"10220","Nuclear Strike 64","1999"
"10221","Chameleon Twist","1997"
"10222","Top Gear Rally 2","1999"
"10223","Chopper Attack","1997"
"10224","Vigilante 8: 2nd Offense","2000"
"10225","Fighting Force 64","1999"
"10229","BlazBlue: Calamity Trigger Portable","2010"
"10231","Street Fighter Collection","1996"
"10232","Ninja Assault","2002"
"10235","GunGriffon Blaze","2000"
"10236","Higurashi no Naku Koro ni Matsuri","2007"
"10237","Frontier Gate","2011"
"10239","Top Angler: Real Bass Fishing","2002"
"10240","Gabrielle's Ghostly Groove 3D","2011"
"10241","Michael Phelps: Push the Limit","2011"
"10242","Breakout","1999"
"10243","Frogger: Helmet Chaos","2005"
"10244","AKB48+Me","2012"
"10245","Touch Detective 2 1/2","2007"
"10246","Alias","2004"
"10249","Sakura Taisen Hanagumi Tsuushin","1997"
"10250","Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen","2004"
"10251","Tornado Outbreak","2009"
"10252","Pimp My Ride","2006"
"10255","Outlaw Golf: Nine Holes of Christmas","2002"
"10256","NHL Rivals 2004","2003"
"10258","Tyco RC: Assault with a Battery","1999"
"10259","Felony 11-79","1997"
"10261","Classic Road","1993"
"10263","Nicktoons: Unite!","2006"
"10265","Death Jr.: Root of Evil","2008"
"10267","Panzer Dragoon Saga","1997"
"10269","Mushroom Men: Rise of the Fungi","2008"
"10270","Shining Ark","2013"
"10273","Transformers: Beast Wars Transmetals","2000"
"10275","Animal Planet: Vet Life","2009"
"10276","My Little Sister Can't Be This Cute Portable","2012"
"10277","Silly Bandz: Play The Craze","2010"
"10279","Constantine","2005"
"10281","Dynasty Tactics 2","2003"
"10282","Real World Golf","2005"
"10283","Winter Heat","1996"
"10285","Digimon Story: Cyber Sleuth","2016"
"10286","JU-ON: The Grudge","2009"
"10288","Deca Sports DS","2009"
"10291","ATV: Quad Frenzy","2005"
"10294","The Godfather: Mob Wars","2006"
"10295","Lady Sia","2001"
"10297","Rocky Balboa","2007"
"10299","PriPara Mezase! Idol Grand Prix No.1!","2015"
"10300","National Geographic Challenge!","2011"
"10301","Robotech: Invasion","2004"
"10302","Hole in the Wall: Deluxe Edition","2011"
"10305","Irozuki Tingle no Koi no Balloon Trip","2009"
"10306","Master of the Monster Lair","2007"
"10311","Final Fantasy I & II","1994"
"10313","Langrisser IV","1997"
"10314","FoxKids.com Micro Maniacs Racing","2000"
"10315","Cats & Dogs: The Revenge of Kitty Galore","2010"
"10316","Hexen: Beyond Heretic","1997"
"10317","Arcade Party Pak","1999"
"10318","Kotoba no Puzzle: Mojipittan Daijiten","2004"
"10319","Yamaha Supercross","2009"
"10320","Picross 3D 2","2015"
"10321","Hitman Trilogy","2007"
"10322","Dragon Quest & Final Fantasy in Itadaki Street Portable","2006"
"10323","Tetris Evolution","2007"
"10324","Patapon 2","2008"
"10326","Attack of the Movies 3D","2010"
"10327","Railroad Tycoon II","1999"
"10329","Hysteria Hospital: Emergency Ward","2009"
"10330","The Cheetah Girls: Pop Star Sensations","2007"
"10332","Kirarin * Revolution: Kira Kira Idol Audition","2006"
"10333","Ranma 1/2: Akanekodan Teki Hihou","1993"
"10335","Blades of Time","2012"
"10336","My Boyfriend","2008"
"10337","Scribblenauts Unmasked: A DC Comics Adventure","2013"
"10338","Victory Zone","1995"
"10339","Rengoku: The Tower of Purgatory","2005"
"10340","Goal Storm '97","1996"
"10341","Paws & Claws: Pet Resort","2009"
"10342","Dynasty Warriors Advance","2005"
"10343","Pachi-Slot Aruze Oukoku 3","2000"
"10345","Tournament Pool","2009"
"10347","Aqua Aqua","2000"
"10348","Viewtiful Joe: Double Trouble!","2005"
"10350","Mega Man Zero 4","2005"
"10351","Black Bass with Blue Marlin","1999"
"10352","Mega Man Battle Network 5: Double Team DS (JP sales)","2005"
"10353","Utawarerumono: Chiriyukusha e no Komoriuta","2006"
"10354","Hyper Formation Soccer","1995"
"10356","Jupiter Strike","1994"
"10357","Sudokuro","2007"
"10359","Saigo no Yakusoku no Monogatari","2011"
"10360","The Book of Unwritten Tales","2009"
"10361","Metal Gear Solid Integral","1999"
"10362","Naruto Shippuden 3D: The New Era","2011"
"10369","Big League Sports: Summer","2009"
"10371","Sakura Wars","2000"
"10372","Jampack Volume 14 (RP-T)","2006"
"10373","Pro Yakyuu Team o Tsukurou! 2","2009"
"10375","Martian Gothic: Unification","2001"
"10376","Woody Woodpecker Racing","1999"
"10377","Final Fantasy XII International Zodiac Job System","2007"
"10378","Barbie in The 12 Dancing Princesses","2007"
"10380","Carnage Heart","1995"
"10381","Grand Theft Auto: Mission Pack #1, London 1969","1998"
"10382","Kamen Rider: Climax Heroes","2009"
"10383","Robotics;Notes","2012"
"10384","Disney Channel Collection Vol. 1","2004"
"10385","Total Immersion Racing","2002"
"10386","Virtual Hydlide","1995"
"10388","Tales of the World: Reve Unitia","2014"
"10390","Warriors Orochi 3","2012"
"10391","The Bachelor: The Videogame","2010"
"10392","Space Invaders","2002"
"10393","BlazBlue: Chrono Phantasma","2014"
"10394","Digimon Digital Card Battle","1999"
"10395","Toukiden 2","2016"
"10396","Earth Defense Force 2: Invaders from Planet Space","2014"
"10397","Kuroko's Basketball: Miracle Game","2012"
"10398","Dreamer Series: Top Model","2009"
"10399","Jikkyou Powerful Pro Yakyuu 13 Ketteiban","2006"
"10401","Yuusha no Kuse ni Namaikida Or 3D","2010"
"10402","The First Templar","2011"
"10405","Petz Fashion: Dogz & Catz","2009"
"10406","Project: Horned Owl","1995"
"10407","Mobile Suit Gundam Age: Universe Accel / Cosmic Drive","2012"
"10408","Child of Light","2014"
"10409","SingStar Guitar","2010"
"10410","Dragon Ball Z Super Gokuden: Kakusei-Hen","1995"
"10411","Help Wanted: 50 Wacky Jobs","2008"
"10412","Busou Shinki: Battle Masters Mk. 2","2011"
"10414","Fairy Tail: Portable Guild","2010"
"10416","SimCity 2000","2003"
"10417","Brunswick Circuit Pro Bowling 2","2000"
"10418","D","1995"
"10420","Ennichi no Tatsujin","2006"
"10421","Squinkies 2: Adventure Mall Surprize!","2011"
"10422","Wizardry VI: Bane of the Cosmic Forge","1995"
"10423","Power Pocket Koushien","2005"
"10424","Gravity Games Bike: Street Vert Dirt","2002"
"10425","Contact","2006"
"10427","Princess Debut","2008"
"10428","My First Dollhouse","2010"
"10430","Family Party: 30 Great Games","2008"
"10431","Top Spin","2005"
"10432","Derby Stallion P","2006"
"10433","Kenka Bancho Bros: Tokyo Battle Royale","2012"
"10434","UFC: Tapout 2","2003"
"10435","Adventure Time: Finn & Jake Investigations","2015"
"10436","Kamen Rider: Battride War II","2014"
"10437","Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage","2007"
"10439","Imagine: Soccer Captain","2009"
"10442","F1 Career Challenge","2003"
"10443","Taiko no Tatsujin: V Version","2015"
"10444","Pariah","2005"
"10445","Cabela's Outdoor Adventures","2005"
"10446","Agatha Christie: The ABC Murders","2009"
"10447","Metal Slug 3","2004"
"10449","Motocross Mania 3","2004"
"10450","Fatal Frame 2: Wii Edition","2012"
"10451","Dancing on Ice","2010"
"10452","Pro Yakyuu Famista DS 2009","2009"
"10453","Banjo-Pilot","2005"
"10455","Gallop Racer 2006","2005"
"10456","Army Corps of Hell","2011"
"10457","Frogger: Ancient Shadow","2005"
"10458","Digimon Story: Lost Evolution","2010"
"10459","Exit DS","2008"
"10460","Ski-Doo Snowmobile Challenge","2009"
"10461","Universe at War: Earth Assault","2008"
"10464","The Whispered World","2009"
"10466","Learn Chess","2009"
"10468","Escape From Monkey Island","2001"
"10471","Mickey's Speedway USA (weekly JP sales)","2000"
"10472","Who Wants to Be a Millionaire: 3rd Edition","2010"
"10473","Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!","2006"
"10474","Miami Law","2009"
"10475","Macross 30: Ginga o Tsunagu Utagoe","2013"
"10476","Kidou Senshi Gundam UC","2012"
"10477","Yu-Gi-Oh! 5D's Wheelie Breakers","2009"
"10479","Gretzky NHL","2005"
"10480","Corvette Evolution GT","2008"
"10481","May's Mystery: Forbidden Memories","2011"
"10482","PictoImage","2007"
"10483","Etrian Odyssey II: Heroes of Lagaard","2014"
"10484","Ridge Racer 2","2006"
"10485","Momotarou Dentetsu 16","2007"
"10486","Igor: The Game","2008"
"10487","Dropship: United Peace Force","2002"
"10488","Road Rash: Jailbreak","2003"
"10489","Rome: Total War","2004"
"10492","Lucha Libre AAA: Heroes del Ring","2010"
"10493","Syberia","2003"
"10494","G1 Jockey 3","2002"
"10497","Revolution X","1995"
"10498","Myst","2007"
"10499","Little Battlers eXperience W","2013"
"10500","Riviera: The Promised Land","2004"
"10501","Risen 3: Titan Lords","2014"
"10502","Top Gun: Combat Zones","2004"
"10503","Bujingai: The Forsaken City","2003"
"10504","Doko Demo Issho","2004"
"10506","The Story of Noah's Ark","2010"
"10507","Brooktown High: Senior Year","2007"
"10512","Death By Degrees","2005"
"10513","Vandal Hearts II","1999"
"10514","Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu","1995"
"10515","Samurai Warriors Chronicles 2nd","2012"
"10516","Medal of Honor: Vanguard","2007"
"10517","Toaru Majutsu no Index","2011"
"10518","Dora's Cooking Club","2010"
"10519","ESA Game Pack","2010"
"10520","America's Next Top Model","2008"
"10522","Uta no Prince-Sama: Music","2011"
"10523","UNO / Skip-Bo / UNO Freefall","2006"
"10524","Culdcept DS","2008"
"10525","Colin McRae Rally 04","2004"
"10527","The King of Fighters: Dream Match 1999","1999"
"10530","Weiss Schwarz Portable","2011"
"10531","Kirarin * Revolution: Mezase! Idol Queen","2007"
"10532","Dungeons & Dragons Tactics","2007"
"10533","X-Men: Children of the Atom","1998"
"10535","Dora & Kai-Lan's Pet Shelter","2011"
"10536","DJ Max Fever","2009"
"10537","Math Blaster in the Prime Adventure","2009"
