"id","game_title","year"
"321","Big Brain Academy: Wii Degree","2007"
"322","Nintendogs + cats","2011"
"323","Batman: Arkham Knight","2015"
"324","Mario & Sonic at the London 2012 Olympic Games","2011"
"325","LEGO Indiana Jones: The Original Adventures","2008"
"326","Resident Evil Director's Cut","1996"
"327","Ratchet & Clank: Size Matters","2007"
"328","Just Dance 2014","2013"
"329","The Sims: Unleashed","2002"
"330","Super Paper Mario","2007"
"331","Harry Potter and the Sorcerer's Stone","2001"
"332","The Witcher 3: Wild Hunt","2015"
"333","Resident Evil 3: Nemesis","1999"
"334","Spyro: Year of the Dragon","2000"
"335","FIFA Soccer 2005","2004"
"336","Pok�mon Trading Card Game","1998"
"337","Battlefield 4","2013"
"338","MySims","2007"
"339","Friend Collection","2009"
"340","Tony Hawk's Pro Skater 4","2002"
"341","Midnight Club 3: DUB Edition","2005"
"342","Banjo-Kazooie","1998"
"343","SOCOM: U.S. Navy SEALs","2002"
"344","Guitar Hero: World Tour","2008"
"345","Gran Turismo 6","2013"
"346","Jak and Daxter: The Precursor Legacy","2001"
"347","Pokemon Snap","1999"
"348","FIFA Soccer 10","2009"
"349","Pro Evolution Soccer 2008","2007"
"351","Resident Evil 4","2005"
"352","Tom Clancy's The Division","2016"
"353","Star Wars: Battlefront","2004"
"354","Doom II: Hell on Earth","1994"
"355","The Simpsons: Road Rage","2001"
"356","Cooking Mama 2: Dinner With Friends","2007"
"357","Luigi's Mansion","2001"
"358","Star Wars: Battlefront II","2005"
"359","WWF SmackDown!","2000"
"360","Croc: Legend of the Gobbos","1997"
"361","Grand Theft Auto: Liberty City Stories","2006"
"362","The Getaway","2002"
"363","Tomb Raider III: Adventures of Lara Croft","1997"
"364","James Bond 007: Agent Under Fire","2001"
"365","LEGO Star Wars: The Video Game","2005"
"368","Rugrats in Paris: The Movie","2000"
"369","Spyro 2: Ripto's Rage!","1999"
"370","Left 4 Dead","2008"
"373","Donkey Kong Country 3: Dixie Kong's Double Trouble!","1996"
"374","Assassin's Creed: Brotherhood","2010"
"375","Kung Fu","1985"
"377","Clubhouse Games","2006"
