"id","movie_title","year"
"443","Army of Shadows","1969"
"444","A Moment to Remember","2004"
"445","Talvar","2015"
"446","Rififi","1955"
"447","The Twilight Samurai","2002"
"448","Omkara","2006"
"449","White Heat","1949"
"450","The Grand Illusion","1937"
"451","Ace in the Hole","1951"
"452","Pink","2016"
"453","Faust","1926"
"454","The Heiress","1949"
"455","A Short Film About Love","1988"
"456","Article 15","2019"
"457","Tangerines","2013"
"458","Innocence","1997"
"459","A Christmas Carol","1951"
"460","Viridiana","1961"
"461","Munna Bhai M.B.B.S.","2003"
"462","Jean de Florette","1986"
"463","Farha","2021"
"464","The Tashkent Files","2019"
"465","Barfi!","2012"
"466","Hridayam","2022"
"467","A Wednesday","2008"
"468","Masaan","2015"
"469","The Circus","1928"
"470","The Bandit","1996"
"471","Moscow Does Not Believe in Tears","1980"
"472","Love Today","2022"
"473","Queen","2013"
"474","Hera Pheri","2000"
"475","Major","2022"
"476","Section 375","2019"
"477","The Color of Paradise","1999"
"478","Udaan","2010"
"479","Checkmate","2023"
"480","Her Sey Çok Güzel Olacak","1998"
"481","Kaththi","2014"
"482","Thuppakki","2012"
"483","Dara of Jasenovac","2020"
"484","Day of the Wacko","2002"
"485","Sarfarosh","1999"
"486","Black","2005"
"487","Anand","1971"
"488","Jo Jeeta Wohi Sikandar","1992"
"489","Day of Wrath","1943"
"490","Pardon","2005"
"491","Ghilli","2004"
"492","Montevideo: Taste of a Dream","2010"
"493","Indian","1996"
"494","Roja","1992"
"495","Bombay","1995"
"496","The Legend of Bhagat Singh","2002"
"497","Iqbal","2005"
"498","Past Lives","2023"
"499","Dune","2021"
"500","Blade Runner 2049","2017"
"501","Black Swan","2010"
"502","The Princess Bride","1987"
"503","La La Land","2016"
"504","Sin City","2005"
"505","Guardians of the Galaxy","2014"
"506","Donnie Darko","2001"
"507","OMG 2","2023"
"508","The Revenant","2015"
"509","Her","2013"
"510","The Incredibles","2004"
"511","CODA","2021"
"512","The Martian","2015"
"513","Deadpool","2016"
"514","The Imitation Game","2014"
"515","The Avengers","2012"
"516","The Last Picture Show","1971"
"517","Young Frankenstein","1974"
"518","The King's Speech","2010"
"519","Zootopia","2016"
"520","Casino Royale","2006"
"521","Rosemary's Baby","1968"
"522","Magnolia","1999"
"523","Blood Diamond","2006"
"524","12 Monkeys","1995"
"525","The Invisible Guest","2016"
"526","Beauty and the Beast","1991"
"527","Soul","2020"
"528","Groundhog Day","1993"
"529","Scent of a Woman","1992"
"530","Dances with Wolves","1990"
"531","Aladdin","1992"
"532","Rain Man","1988"
"533","The Graduate","1967"
"534","The Pursuit of Happyness","2006"
"535","Kill Bill: Vol. 2","2004"
"536","Planet of the Apes","1968"
"537","Perfect Blue","1997"
"538","Big Fish","2003"
"539","JFK","1991"
"540","Dogville","2003"
"541","The Bourne Ultimatum","2007"
"542","Akira","1988"
"543","Lion","2016"
"544","Slumdog Millionaire","2008"
"545","Chungking Express","1994"
"546","The Shop Around the Corner","1940"
"547","Dog Day Afternoon","1975"
"548","Do the Right Thing","1989"
"549","Butch Cassidy and the Sundance Kid","1969"
"550","Sling Blade","1996"
"551","Annie Hall","1977"
"552","The Night of the Hunter","1955"
"553","What Ever Happened to Baby Jane?","1962"
"554","Life of Brian","1979"
"555","Who's Afraid of Virginia Woolf?","1966"
"556","Mommy","2014"
"557","Nausicaä of the Valley of the Wind","1984"
"558","Papillon","1973"
"559","Solaris","1972"
"560","Ip Man","2008"
"561","Cinderella Man","2005"
"562","Gandhi","1982"
"563","The Exterminating Angel","1962"
"564","The Hustler","1961"
"565","8½","1963"
"566","Rio Bravo","1959"
"567","Castle in the Sky","1986"
"568","Roman Holiday","1953"
"569","La Dolce Vita","1960"
"570","High Noon","1952"
"571","Fiddler on the Roof","1971"
"572","Wolfwalkers","2020"
"573","Pink Floyd: The Wall","1982"
"574","Infernal Affairs","2002"
"575","The Cabinet of Dr. Caligari","1920"
"576","Spring, Summer, Fall, Winter... and Spring","2003"
"577","Touch of Evil","1958"
"578","The Maltese Falcon","1941"
"579","Silenced","2011"
"580","Anatomy of a Murder","1959"
"581","The Straight Story","1999"
"582","Mirror","1975"
"583","Fitzcarraldo","1982"
"584","Secrets & Lies","1996"
"585","My Sassy Girl","2001"
"586","The Leopard","1963"
"587","The Legend of 1900","1998"
"588","Brief Encounter","1945"
"589","The Tale of The Princess Kaguya","2013"
"590","Song of the Sea","2014"
"591","Baahubali: The Beginning","2015"
"592","The Sea Inside","2004"
"593","Sleuth","1972"
"594","Elite Squad","2007"
"595","Out of the Past","1947"
"596","Nobody Knows","2004"
"597","Le Samouraï","1967"
"598","The Diving Bell and the Butterfly","2007"
"599","Stalag 17","1953"
"600","Sweet Smell of Success","1957"
"601","Evangelion: 3.0+1.01 Thrice Upon a Time","2021"
"602","Dilwale Dulhania Le Jayenge","1995"
"603","The Wild Pear Tree","2018"
"604","Black Cat, White Cat","1998"
"605","I Want to Eat Your Pancreas","2018"
"606","Haider","2014"
"607","Persepolis","2007"
"608","Quo Vadis, Aida?","2020"
"609","Cries & Whispers","1972"
"610","Fail Safe","1964"
"611","Day for Night","1973"
"612","Love Exposure","2008"
"613","Stairway to Heaven","1946"
"614","Goodbye, Children","1987"
"615","La Notte","1961"
"616","Ivan's Childhood","1962"
"617","La strada","1954"
"618","Departures","2008"
"619","Kind Hearts and Coronets","1949"
"620","The Cremator","1969"
"621","Manon of the Spring","1986"
"622","Ali: Fear Eats the Soul","1974"
"623","G.O.R.A.","2004"
"624","Limelight","1952"
"625","Rome, Open City","1945"
"626","Elite Squad 2: The Enemy Within","2010"
"627","The Life and Death of Colonel Blimp","1943"
"628","Maqbool","2003"
"629","Sanjuro","1962"
"630","Central Station","1998"
"631","Werckmeister Harmonies","2000"
"632","Carry On, Munna Bhai","2006"
"633","Investigation of a Citizen Above Suspicion","1970"
"634","A Short Film About Killing","1988"
"635","The Blue Elephant","2014"
"636","Tae Guk Gi: The Brotherhood of War","2004"
"637","Company","2002"
"638","The Fool","2014"
"639","Gulaal","2009"
"640","Arjun Reddy","2017"
"641","Winter Light","1963"
"642","M.S. Dhoni: The Untold Story","2016"
"643","Shame","1968"
"644","The Ox-Bow Incident","1943"
"645","Greed","1924"
"646","Yol","1982"
"647","Divorce Italian Style","1961"
"648","An Autumn Afternoon","1962"
"649","The Bad Sleep Well","1960"
"650","The Phantom Carriage","1921"
"651","Malik","2021"
"652","Turtles Can Fly","2004"
"653","Forbidden Games","1952"
"654","The Last Laugh","1924"
"655","Special 26","2013"
"656","The Cameraman","1928"
"657","Castaway on the Moon","2009"
"658","Charlie","2015"
"659","Vizontele","2001"
"660","Andaz Apna Apna","1994"
"661","The Wounds","1998"
"662","The Blue Elephant 2","2019"
"663","Karnan","2021"
"664","Karthikeya 2","2022"
"665","Deewaar","1975"
"666","1: Nenokkadine","2014"
"667","My Grandfather's People","2011"
"668","Manjhi: The Mountain Man","2015"
"669","Vaastav: The Reality","1999"
"670","Okkadu","2003"
"671","Pokiri","2006"
"672","Nefes: Vatan Sagolsun","2009"
"673","Cars of the Revolution","2008"
"674","Çiçek Abbas","1982"
"675","Guardians of the Galaxy Vol. 3","2023"
"676","Mission: Impossible - Dead Reckoning Part One","2023"
"677","Titanic","1997"
"678","Harry Potter and the Prisoner of Azkaban","2004"
"679","The Nightmare Before Christmas","1993"
"680","Arrival","2016"
"681","Knives Out","2019"
"682","Almost Famous","2000"
"683","Boogie Nights","1997"
"684","Bohemian Rhapsody","2018"
"685","True Romance","1993"
"686","Fantastic Mr. Fox","2009"
"687","Mulholland Drive","2001"
"688","Star Trek","2009"
"689","Avatar","2009"
"690","Edge of Tomorrow","2014"
"691","Thor: Ragnarok","2017"
"692","Zack Snyder's Justice League","2021"
"693","Iron Man","2008"
"694","Children of Men","2006"
"695","Jojo Rabbit","2019"
"696","Shrek","2001"
"697","The Perks of Being a Wallflower","2012"
"698","E.T.","1982"
"699","Shaun of the Dead","2004"
"700","Mystic River","2003"
"701","Edward Scissorhands","1990"
"702","District 9","2009"
"703","In Bruges","2008"
"704","X-Men: Days of Future Past","2014"
"705","Wonder","2017"
"706","The Hill","1965"
"707","Dallas Buyers Club","2013"
"708","Marriage Story","2019"
"709","The Blues Brothers","1980"
"710","This Is Spinal Tap","1984"
"711","Life of Pi","2012"
"712","Carlito's Way","1993"
"713","Spartacus","1960"
"714","In the Heat of the Night","1967"
"715","Brazil","1985"
"716","Ghost in the Shell","1995"
"717","The Ten Commandments","1956"
"718","Toy Story 2","1999"
"719","Boyhood","2014"
"720","Sing Street","2016"
"721","Nosferatu","1922"
"722","A Christmas Story","1983"
"723","A Fistful of Dollars","1964"
"724","The Wrestler","2008"
"725","Sirf Ek Bandaa Kaafi Hai","2023"
"726","The Raid 2","2014"
"727","Doctor Zhivago","1965"
"728","Short Term 12","2013"
"729","Crouching Tiger, Hidden Dragon","2000"
"730","A Night to Remember","1958"
"731","The Killing","1956"
"732","3-Iron","2004"
"733","Shoplifters","2018"
"734","Hero","2002"
"735","A Streetcar Named Desire","1951"
"736","Before Midnight","2013"
"737","Wings of Desire","1987"
"738","Dancer in the Dark","2000"
"739","Bound by Honor","1993"
"740","All the President's Men","1976"
"741","Charade","1963"
"742","Harold and Maude","1971"
"743","The Big Country","1958"
"744","The Wild Bunch","1969"
"745","Being There","1979"
"746","Notorious","1946"
"747","Once Were Warriors","1994"
"748","The Manchurian Candidate","1962"
"749","Three Colors: Blue","1993"
"750","Togo","2019"
"751","King Kong","1933"
"752","Rope","1948"
"753","The Artist","2011"
"754","The Philadelphia Story","1940"
"755","Kes","1969"
"756","Talk to Her","2002"
"757","Leila's Brothers","2022"
"758","Arsenic and Old Lace","1944"
"759","Patton","1970"
"760","Strangers on a Train","1951"
"761","The Adventures of Robin Hood","1938"
"762","My Name Is Khan","2010"
"763","The Big Sleep","1946"
"764","Amour","2012"
"765","The Sacrifice","1986"
"766","Cat on a Hot Tin Roof","1958"
"767","The Lion in Winter","1968"
"768","The Conformist","1970"
"769","Head-On","2004"
"770","In Cold Blood","1967"
"771","A Taxi Driver","2017"
"772","In a Lonely Place","1950"
"773","Laura","1944"
"774","Mildred Pierce","1945"
"775","Onibaba","1964"
"776","Tampopo","1985"
"777","Harvey","1950"
"778","Cléo from 5 to 7","1962"
"779","Nostalghia","1983"
"780","My Man Godfrey","1936"
"781","Miracle on 34th Street","1947"
"782","I Remember","1973"
"783","The Thin Man","1934"
"784","Elevator to the Gallows","1958"
"785","Mishima: A Life in Four Chapters","1985"
"786","The Return","2003"
"787","Kagemusha","1980"
"788","Kwaidan","1964"
"789","The Big Heat","1953"
"790","Battleship Potemkin","1925"
"791","4 Months, 3 Weeks and 2 Days","2007"
"792","The Way He Looks","2014"
"793","Gully Boy","2019"
"794","Kal Ho Naa Ho","2003"
"795","About Elly","2009"
"796","Super 30","2019"
"797","Beauty and the Beast","1946"
"798","Nine Queens","2000"
"799","The Lost Weekend","1945"
"800","The Stoning of Soraya M.","2008"
"801","Hiroshima Mon Amour","1959"
"802","Captains Courageous","1937"
"803","Opening Night","1977"
"804","Jab We Met","2007"
"805","The Red Circle","1970"
"806","Now, Voyager","1942"
"807","Angels with Dirty Faces","1938"
"808","Through a Glass Darkly","1961"
"809","Cría Cuervos","1976"
"810","Auntie Mame","1958"
"811","Eternity and a Day","1998"
"812","No Man's Land","2001"
"813","Ugly","2013"
"814","One, Two, Three","1961"
"815","Who Killed Captain Alex?","2015"
"816","Still Walking","2008"
"817","Sullivan's Travels","1941"
"818","Goodbye, Mr. Chips","1939"
"819","Alice in the Cities","1974"
"820","The Rules of the Game","1939"
"821","Night and the City","1950"
"822","Letter from an Unknown Woman","1948"
"823","C.R.A.Z.Y.","2005"
"824","Evangelion: 2.0 You Can (Not) Advance","2009"
"825","The Fire Within","1963"
"826","Badhaai Ho","2018"
"827","The Little Foxes","1941"
"828","Hey Ram","2000"
"829","La Grande Vadrouille","1966"
"830","Thiruchitrambalam","2022"
"831","Airlift","2016"
"832","The Roaring Twenties","1939"
"833","Ghost in the Shell 2.0","2008"
"834","Trouble in Paradise","1932"
"835","Before the Rain","1994"
"836","The Testament of Dr. Mabuse","1933"
"837","The Earrings of Madame De...","1953"
"838","The Sword of Doom","1966"
"839","Sonchiriya","2019"
"840","Love Letter","1995"
"841","Orpheus","1950"
"842","The Book of Sun","2020"
"843","Dev.D","2009"
"844","Johnny Gaddaar","2007"
"845","Ivy","2015"
"846","The Other Me","2016"
"847","Big Deal on Madonna Street","1958"
"848","Border","1997"
"849","Gemide","1998"
"850","Baby","2015"
"851","South Wind","2018"
"852","24","2016"
"853","Pad Man","2018"
"854","Vishwaroopam","2013"
"855","Ankhon Dekhi","2013"
"856","The Song of Sparrows","2008"
"857","Kin-dza-dza!","1986"
"858","The Trap","2007"
"859","The Class","2007"
"860","Manam","2014"
"861","John Wick: Chapter 4","2023"
"862","Sound of Freedom","2023"
"863","The Batman","2022"
"864","Everything Everywhere All at Once","2022"
"865","The Gentlemen","2019"
"866","The Big Short","2015"
"867","Pride & Prejudice","2005"
"868","Get Out","2017"
"869","Rogue One: A Star Wars Story","2016"
"870","Ghostbusters","1984"
"871","Tombstone","1993"
"872","Drive","2011"
"873","The Notebook","2004"
"874","Little Women","2019"
"875","The Breakfast Club","1985"
"876","About Time","2013"
"877","The Irishman","2019"
"878","Puss in Boots: The Last Wish","2022"
"879","Ferris Bueller's Day Off","1986"
"880","All Quiet on the Western Front","2022"
"881","Apocalypto","2006"
"882","The Hobbit: An Unexpected Journey","2012"
"883","Dunkirk","2017"
"884","Remember the Titans","2000"
